"Title","Media URL","Pinterest board","Description","Link","Keywords"
"Óleo original: Luis — Julio Machado","https://jcmachado.com/imagenes/ml/Luis.jpg","Retratos y Obra — Julio Machado","Hay retratos que empiezan por la mirada y otros que empiezan por la memoria. Este empezó por la memoria. Arte argentino contemporáneo. Birome sobre papel · 25×35 cm","https://jcmachado.com/obra/luis/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Birome sobre papel · 25×35 cm, decoración, regalo original"
"Óleo original: Lucy — Julio Machado","https://jcmachado.com/imagenes/ml/lucy.jpg","Retratos y Obra — Julio Machado","El mundo de Fallout tiene una estética que me obsesiona: todo roto, todo saturado, y sin embargo la luz sigue insistiendo. ""Lucy"" es eso — una figura que no posa, que sobrevive, pintada con un azul y un amarillo que no se llevan del todo bien, y por eso se pelean en la tela. Arte argentino contemporáneo. Óleo sobre papel · A4","https://jcmachado.com/obra/lucy/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo sobre papel · A4, decoración, regalo original"
"Óleo original: Ghoul — Julio Machado","https://jcmachado.com/imagenes/ml/ghoul.jpg","Retratos y Obra — Julio Machado","En el yermo no hay héroes prolijos; hay gente que aprendió a durar. El Ghoul es eso: la decadencia como supervivencia. Lo pinté con pinceladas pesadas y texturas ásperas, tratando de que el óleo mismo envejeciera — que la pintura tuviera, como el personaje, la radiación encima. Arte argentino contemporáneo. Óleo sobre papel 25×35 cm","https://jcmachado.com/obra/ghoul/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo sobre papel 25×35 cm, decoración, regalo original"
"Óleo original: Julian — Julio Machado","https://jcmachado.com/imagenes/ml/Julian.jpg","Retratos y Obra — Julio Machado","A veces un retrato no busca parecido, busca luz. ""Julian"" es un óleo pequeño (15×21 cm) donde lo único que importa es cómo la luz entra en un rostro conocido. Arte argentino contemporáneo. Óleo sobre papel · 15×21 cm","https://jcmachado.com/obra/julian/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo sobre papel · 15×21 cm, decoración, regalo original"
"Óleo original: Ray L. — Julio Machado","https://jcmachado.com/imagenes/ml/ray.jpg","Retratos y Obra — Julio Machado","Hay personajes que no se pueden pintar prolijo porque su energía no es prolija. Ray Liotta en Goodfellas es uno de ellos. Lo pinté con pinceladas rápidas y sin filtros, como si el óleo corriera detrás de él. Arte argentino contemporáneo. Óleo","https://jcmachado.com/obra/ray-l/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo, decoración, regalo original"
"Óleo original: Hitchcock — Julio Machado","https://jcmachado.com/imagenes/ml/hitchcock.jpg","Retratos y Obra — Julio Machado","Hitchcock no dirigía con la cámara: dirigía con el suspenso. Esta caricatura interpretativa intenta pintar eso — no el rostro del director, sino la tensión que fabricaba. Arte argentino contemporáneo. Óleo · 15×21 cm","https://jcmachado.com/obra/hitchcock/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo · 15×21 cm, decoración, regalo original"
"Óleo original: El Padrino — Julio Machado","https://jcmachado.com/imagenes/ml/padrino.jpg","Retratos y Obra — Julio Machado","El Padrino no habla en voz alta y por eso manda. Marlon Brando construyó un personaje con la ausencia de gestos, y pintarlo fue un ejercicio sobre el poder: cuánto puede transmitir un rostro que no se mueve. Arte argentino contemporáneo. Óleo · 15×21 cm","https://jcmachado.com/obra/el-padrino/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo · 15×21 cm, decoración, regalo original"
"Óleo original: El astronauta — Julio Machado","https://jcmachado.com/imagenes/ml/astronauta.jpg","Retratos y Obra — Julio Machado","¿Qué le pasa a una persona cuando desaparece todo el mundo? La película lenta de Adam Sandler sobre un astronauta aislado me dio la excusa para pintar el silencio. Arte argentino contemporáneo. Óleo sobre papel · 15×21 cm","https://jcmachado.com/obra/el-astronauta/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo sobre papel · 15×21 cm, decoración, regalo original"
"Óleo original: XingXing — Julio Machado","https://jcmachado.com/imagenes/ml/ape.jpg","Retratos y Obra — Julio Machado","Hay miradas que no necesitan palabras, y la de este mono — el famoso Xingxing — es una de ellas. Lo pinté porque su cara tiene algo que nos incomoda y nos atrae a la vez: parece estar entendiéndonos. Arte argentino contemporáneo. Óleo · 15×21 cm","https://jcmachado.com/obra/xingxing/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo · 15×21 cm, decoración, regalo original"
"Óleo original: Mr. Pink — Julio Machado","https://jcmachado.com/imagenes/ml/unknown.jpg","Retratos y Obra — Julio Machado","Casi todos los retratos buscan que mires los ojos. Este no: busca que mires lo que pasa alrededor de ellos. Arte argentino contemporáneo. Óleo sobre papel","https://jcmachado.com/obra/mr-pink/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Óleo sobre papel, decoración, regalo original"
"Óleo original: Tini — Julio Machado","https://jcmachado.com/imagenes/ml/Tini.jpg","Retratos y Obra — Julio Machado","Hay colores que no se llevan bien y justamente por eso se vuelven inolvidables. El negro y el amarillo son uno de esos pares: el amarillo es pura energía, el negro es el fondo contra el que esa energía se nota. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/tini/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Maria Becerra — Julio Machado","https://jcmachado.com/imagenes/ml/Mariabecerra.jpg","Retratos y Obra — Julio Machado","La Nena de Argentina tiene una luz propia, y esa luz es violeta y amarilla. Esta obra juega con ese choque: lo profundo contra lo eléctrico. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/maria-becerra/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Cazzu — Julio Machado","https://jcmachado.com/imagenes/ml/Cazzu.jpg","Retratos y Obra — Julio Machado","El rojo y el verde son contrarios en el círculo cromático, y Cazzu es una artista de los contrarios: la dureza y la sensibilidad conviviendo. Esta obra los hace chocar a propósito. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/cazzu/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Catriel y Paco — Julio Machado","https://jcmachado.com/imagenes/ml/Catrielypaco.jpg","Retratos y Obra — Julio Machado","Ca7riel y Paco Amoroso son música de noche y de riesgo, y esta obra es eso: rojos, naranjas y un verde limón que no piden permiso. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/catriel-y-paco/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Taylor — Julio Machado","https://jcmachado.com/imagenes/ml/Taylor.jpg","Retratos y Obra — Julio Machado","Taylor Swift construyó una carrera entera contando historias en canciones. Esta obra intenta algo parecido en pintura: no retratar a la persona, sino el clima de sus historias — coral y violeta, luz de escenario y algo más íntimo. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/taylor/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Luck Ra — Julio Machado","https://jcmachado.com/imagenes/ml/Luckra.jpg","Retratos y Obra — Julio Machado","Es una sola pieza en el mundo. Si parpadeás, te la ganan. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/luck-ra/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Justin — Julio Machado","https://jcmachado.com/imagenes/ml/Justin.jpg","Retratos y Obra — Julio Machado","Es un retrato para pensar, no para decorar. El original ya fue vendido; quedan prints numerados con mi certificado. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/justin/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Charly — Julio Machado","https://jcmachado.com/imagenes/ml/Charly.jpg","Retratos y Obra — Julio Machado","Charly García de la época de Clics Modernos no era una persona: era una corriente eléctrica. Los rojos furiosos y los azules vivos de esta obra intentan atrapar ese cortocircuito. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/charly/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Gustavo — Julio Machado","https://jcmachado.com/imagenes/ml/Gustavo.jpg","Retratos y Obra — Julio Machado","El original es único y ya tiene pared: se fue a la casa de un coleccionista. Quedan 10 réplicas numeradas en calidad premium, con mi certificado firmado. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/gustavo/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Indio — Julio Machado","https://jcmachado.com/imagenes/ml/Indio.jpg","Retratos y Obra — Julio Machado","Ya vas a verla colgada en la casa de otro: el original encontró dueño. Quedan 10 réplicas numeradas con mi certificado. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/indio/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
"Óleo original: Carca — Julio Machado","https://jcmachado.com/imagenes/ml/Carca.jpg","Retratos y Obra — Julio Machado","Carca tiene una elegancia de escenario difícil de explicar: el rock nacional refinado, sin necesidad de gritar. Los azules nocturnos y las luces naranjas de esta obra intentan atrapar ese momento exacto del show. Arte argentino contemporáneo. Oleo sobre sketchbook","https://jcmachado.com/obra/carca/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre sketchbook, decoración, regalo original"
